,pos,artist_name,track_uri,artist_uri,track_name,album_uri,duration_ms,album_name,name
23,23,The Click Five,spotify:track:1JURww012QnWAw0zZXi6Aa,spotify:artist:01lz5VBfkMFDteSA9pKJuP,Just The Girl,spotify:album:7gZilZGYr8M7UwEeYvdAKZ,234146,Greetings From Imrie House,Throwbacks
24,24,Chris Brown,spotify:track:7DFnq8FYhHMCylykf6ZCxA,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,Yo (Excuse Me Miss),spotify:album:49gaz5rhWWgqCw61M9700v,229040,Chris Brown,Throwbacks
25,25,Jonas Brothers,spotify:track:1TfAhjzRBWzYZ8IdUV3igl,spotify:artist:7gOdHgIoIKoe4i9Tta6qdD,Year 3000,spotify:album:20RAjvZ9LX2FDuDU8RDuIl,201960,Jonas Brothers,Throwbacks
26,26,Lil Mama,spotify:track:1Y4ZdPOOgCUhBcKZOrUFiS,spotify:artist:5qK5bOC6wLtuLhG5KvU17c,Lip Gloss,spotify:album:3vgVsm9GY3i39fZ7b1sqV5,219773,Lip Gloss,Throwbacks
27,27,Cascada,spotify:track:6MjljecHzHelUDismyKkba,spotify:artist:0N0d3kjwdY2h7UVuTdJGfp,Everytime We Touch - Radio Edit,spotify:album:5DvuKZTzEKjm0oUuhP237C,199120,Everytime We Touch,Throwbacks
28,28,Jason Derulo,spotify:track:67T6l4q3zVjC5nZZPXByU8,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y,Whatcha Say,spotify:album:0aVJmVAeEx78nAA1rAKYf7,221253,Jason Derulo,Throwbacks
29,29,Ne-Yo,spotify:track:34ceTg8ChN5HjrqiIYCn9Q,spotify:artist:21E3waRsmPlU7jZsS13rcj,Miss Independent,spotify:album:6dTn9vJSxVTIGm4Cu5dH4x,232000,Year Of The Gentleman,Throwbacks
30,30,Miley Cyrus,spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1,spotify:artist:5YGY8feqx7naU7z4HrwZM6,Party In The U.S.A.,spotify:album:64aKkqxc3Ur2LYIKeS5osS,202066,The Time Of Our Lives,Throwbacks
31,31,Boys Like Girls,spotify:track:6GIrIt2M39wEGwjCQjGChX,spotify:artist:0vWCyXMrrvMlCcepuOJaGI,The Great Escape,spotify:album:4WqgusSAgXkrjbXzqdBY68,206520,Boys Like Girls,Throwbacks
32,32,Iyaz,spotify:track:4E5P1XyAFtrjpiIxkydly4,spotify:artist:5tKXB9uuebKE34yowVaU3C,Replay,spotify:album:44hyrGuZKAvITbmrlhryf8,182306,Replay,Throwbacks
33,33,Chris Brown,spotify:track:3H1LCvO3fVsK2HPguhbml0,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,Forever,spotify:album:1UtE4zAlSE2TlKmTFgrTg5,277106,Exclusive - The Forever Edition,Throwbacks
34,34,Kesha,spotify:track:3uoQULcUWfnt6nc6J7Vgai,spotify:artist:6LqNN22kT3074XbTVUrhzX,Your Love Is My Drug,spotify:album:5peRwC6pQh8eaoIPtvmmOB,187133,Animal,Throwbacks
35,35,Ne-Yo,spotify:track:2nbClS09zsIAqNkshg6jnp,spotify:artist:21E3waRsmPlU7jZsS13rcj,Closer,spotify:album:1nv3KEXZPmcwOXMoLTs1vn,234360,Year Of The Gentleman,Throwbacks
36,36,Justin Bieber,spotify:track:69ghzc538EQSVon2Gm3wrr,spotify:artist:1uNFoZAHBGtllmzznpCI3s,One Less Lonely Girl,spotify:album:1rG5TDs3jYh6OU753I54CI,229106,My World,Throwbacks
37,37,M.I.A.,spotify:track:1kusepF3AacIEtUTYrw4GV,spotify:artist:0QJIPDAEDILuo8AIq3pMuU,Paper Planes,spotify:album:1Lymt1abGCr3J06bbnmWca,203760,Kala,Throwbacks
38,38,The Killers,spotify:track:7oK9VyNzrYvRFo7nQEYkWN,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,Mr. Brightside,spotify:album:4undIeGmofnAYKhnDclN1w,222586,Hot Fuss,Throwbacks
39,39,blink-182,spotify:track:12qZHAeOyTf93YAWvGDTat,spotify:artist:6FBDaR13swtiWwGhX1WQsP,All The Small Things,spotify:album:1fF8kYX49s5Ufv4XEY5sjW,168000,Enema Of The State,Throwbacks
40,40,The Pussycat Dolls,spotify:track:2jFlMILIQzs7lSFudG9lbo,spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ,Beep,spotify:album:0ylxpXE00fVxh6d60tevT8,229360,PCD,Throwbacks
41,41,Justin Bieber,spotify:track:4I2GqMe7L2ccMpUbnDzYLH,spotify:artist:1uNFoZAHBGtllmzznpCI3s,Somebody To Love,spotify:album:6gdLfnf2vdNlMTyhJHaDLs,220920,My Worlds,Throwbacks
42,42,The All-American Rejects,spotify:track:5lDriBxJd22IhOH9zTcFrV,spotify:artist:3vAaWhdBR38Q02ohXqaNHT,Dirty Little Secret,spotify:album:3PWEGZ6CYvXRnr0JCECsDe,193653,Move Along,Throwbacks
43,43,Justin Bieber,spotify:track:2eJ8ij1T3cNUKiGdcUvKhy,spotify:artist:1uNFoZAHBGtllmzznpCI3s,Baby,spotify:album:6gdLfnf2vdNlMTyhJHaDLs,213973,My Worlds,Throwbacks
44,44,Vanessa Carlton,spotify:track:5y69gQtK33qxb8a24ACkCy,spotify:artist:5ILrArfIV0tMURcHJN8Q07,A Thousand Miles,spotify:album:7D6BFTArx2ajtkKRVXIKO2,237493,Be Not Nobody,Throwbacks
45,45,Cris Cab,spotify:track:1X5WGCrUMuwRFuYU1eAo2I,spotify:artist:7vWBZm3sQ8yQvfV4nXxHXK,Livin on Sunday,spotify:album:2kNznk4KDkYXifzOAUDoXN,201230,Red Road,Throwbacks
46,46,Miley Cyrus,spotify:track:3utIAb67sOu0QHxBE88P1M,spotify:artist:5YGY8feqx7naU7z4HrwZM6,See You Again,spotify:album:6SkirMQoL4QhnXOM5MH5El,190453,See You Again,Throwbacks
47,47,Jesse McCartney,spotify:track:3jkdQNkDTxxXtjSO4l0o1H,spotify:artist:2Hjj68yyUPiC0HKEOigcEp,How Do You Sleep? - Featuring Ludacris,spotify:album:2tDCfKFy2YW9N0IwNSRdOJ,208333,Departure - Recharged,Throwbacks
48,48,Demi Lovato,spotify:track:5c1sfI6wIQEsSUw0xrkFdl,spotify:artist:6S2OmqARrzebs0tKUEyXyp,This Is Me,spotify:album:6vykWEBzBfEKYJxEFR1AQl,189186,Camp Rock Original Soundtrack,Throwbacks
49,49,Avril Lavigne,spotify:track:6sqNctd7MlJoKDOxPVCAvU,spotify:artist:0p4nmQO2msCgU4IF37Wi3j,My Happy Ending,spotify:album:7851Vsjv3apS52sXUik6iF,242413,Under My Skin,Throwbacks
50,50,We The Kings,spotify:track:1b7vg5T9YKR3NNqXfBYRF7,spotify:artist:3ao3jf5d70Tf4fPh2bnXVl,Check Yes Juliet,spotify:album:2F1hfUOuMnOxtSfrktL8VX,220133,We The Kings,Throwbacks
51,51,Boys Like Girls,spotify:track:6GIrIt2M39wEGwjCQjGChX,spotify:artist:0vWCyXMrrvMlCcepuOJaGI,The Great Escape,spotify:album:4WqgusSAgXkrjbXzqdBY68,206520,Boys Like Girls,Throwbacks
52,0,Survivor,spotify:track:2HHtWyy5CgaQbC7XSoOb0e,spotify:artist:26bcq2nyj5GB7uRr558iQg,Eye of the Tiger,spotify:album:4PT9VulQaQP6XR1xBI2x1W,243773,Eye Of The Tiger,Awesome Playlist
53,1,Daniel Tidwell,spotify:track:1MYYt7h6amcrauCOoso3Gx,spotify:artist:7zdmbPudNX4SQJXnYIuCTC,Libera Me From Hell (Tengen Toppa Gurren Lagann),spotify:album:3q8vR3PFV8kG1m1Iv8DpKq,70294,Versus Hollywood,Awesome Playlist
54,2,Daniel Tidwell,spotify:track:3x2mJ2bjCIU70NrH49CtYR,spotify:artist:7zdmbPudNX4SQJXnYIuCTC,Pokémon Theme,spotify:album:3q8vR3PFV8kG1m1Iv8DpKq,65306,Versus Hollywood,Awesome Playlist
55,3,Daniel Tidwell,spotify:track:1Pm3fq1SC6lUlNVBGZi3Em,spotify:artist:7zdmbPudNX4SQJXnYIuCTC,Concerning Hobbits (The Lord of the Rings),spotify:album:3q8vR3PFV8kG1m1Iv8DpKq,108532,Versus Hollywood,Awesome Playlist
56,4,Daniel Tidwell,spotify:track:1NXTEkIeRL59NK61QuhYUl,spotify:artist:7zdmbPudNX4SQJXnYIuCTC,The Blood of Cuchulainn (The Boondock Saints),spotify:album:3q8vR3PFV8kG1m1Iv8DpKq,214268,Versus Hollywood,Awesome Playlist
57,5,Daniel Tidwell,spotify:track:3RGlJJFkWEavxeRQr9ivAd,spotify:artist:7zdmbPudNX4SQJXnYIuCTC,He's a Pirate (Pirates of the Caribbean),spotify:album:3q8vR3PFV8kG1m1Iv8DpKq,110219,Versus Hollywood,Awesome Playlist
58,6,Daniel Tidwell,spotify:track:0e9hR1vTrzlUvFH5PgA9rY,spotify:artist:7zdmbPudNX4SQJXnYIuCTC,Very Bloody Tears (Castlevania II: Simon's Quest),spotify:album:60wUpRwDRF1jmViHaW2yu4,207520,Versus Video Games,Awesome Playlist
59,7,Kaleptik,spotify:track:7dkbEHIMLoeuG4zXGmzhEH,spotify:artist:6BKWwLs98ZY3ifhCDNGvLk,U.N. Owen Was Her? (Remix),spotify:album:38tJMNu2lPatR7xnPchOOB,226000,"Video Game Remixes, Vol. 1",Awesome Playlist
60,8,Ben Foster,spotify:track:7nZnCjIJ8JigdMqJ36yRRm,spotify:artist:6Gp8BbKAqPO3R0UAYkm8J0,I am the Doctor in Utah,spotify:album:2t34tkX7TR5rYKMu3WYO0z,104600,Doctor Who: Series 6 (Original Television Soundtrack),Awesome Playlist
61,9,Leslie Odom Jr.,spotify:track:2TK2KSrzXD6W01qjXVjNGh,spotify:artist:3cR4rhS2hBWqI7rJEBacvN,The Room Where It Happens,spotify:album:1kCHru7uhxBUdzkm4gzRQc,318214,Hamilton,Awesome Playlist
62,10,Christopher Jackson,spotify:track:3nJYcY9yvKP8Oi2Ml8brXt,spotify:artist:6sLwRSXSUF5JTUnQaFenyj,Right Hand Man,spotify:album:1kCHru7uhxBUdzkm4gzRQc,321696,Hamilton,Awesome Playlist
63,11,Leslie Odom Jr.,spotify:track:4TTV7EcfroSLWzXRY6gLv6,spotify:artist:3cR4rhS2hBWqI7rJEBacvN,Alexander Hamilton,spotify:album:1kCHru7uhxBUdzkm4gzRQc,236737,Hamilton,Awesome Playlist
64,12,Lin-Manuel Miranda,spotify:track:4cxvludVmQxryrnx1m9FqL,spotify:artist:4aXXDj9aZnlshx7mzj3W1N,My Shot,spotify:album:1kCHru7uhxBUdzkm4gzRQc,333154,Hamilton,Awesome Playlist
65,13,Led Zeppelin,spotify:track:5CQ30WqJwcep0pYcV4AMNc,spotify:artist:36QJpDe2go2KgaRleHCDTp,Stairway To Heaven,spotify:album:44Ig8dzqOkvkGDzaUof9lK,482830,Led Zeppelin IV,Awesome Playlist
66,14,Collective Soul,spotify:track:1HZ3cUZUw5htSFmah1V8Ko,spotify:artist:4e5V1Q2dKCzbLVMQ8qbTn6,Shine,spotify:album:3uSVy9q97sAzd5UE0dMdOT,306040,"Hints, Allegations & Things Left Unsaid",Awesome Playlist
67,15,Nightwish,spotify:track:43pmQcgxMMhJu1gPW2ZdNz,spotify:artist:2NPduAUeLVsfIauhRwuft1,Ghost Love Score,spotify:album:7pYmXPG9Wj5nvC5jFM0yEW,602080,Once,Awesome Playlist
68,16,Seal,spotify:track:6Vz7vzOpCwKeSQlfViibuY,spotify:artist:5GtMEZEeFFsuHY8ad4kOxv,Crazy,spotify:album:3NehJpD5x3MUtpl8jDTHaa,356520,Best 1991 - 2004,Awesome Playlist
69,17,The Rolling Stones,spotify:track:4sFbojhVXQv7dBC9PVCcRn,spotify:artist:22bE4uQ6baNwSHPVcDxLCe,Sympathy For The Devil,spotify:album:5WZFtmADuJUZPtt0NER0Qi,377746,Beggars Banquet,Awesome Playlist
70,18,The Rolling Stones,spotify:track:1dv3ePjze9tPq2pk8eWJdR,spotify:artist:22bE4uQ6baNwSHPVcDxLCe,Gimme Shelter,spotify:album:0c78nsgqX6VfniSNWIxwoD,270773,Let It Bleed,Awesome Playlist
71,19,Lynyrd Skynyrd,spotify:track:5EWPGh7jbTNO2wakv8LjUI,spotify:artist:4MVyzYMgTwdP7Z49wAZHx0,Free Bird,spotify:album:6DExt1eX4lflLacVjHHbOs,547106,Pronounced' Leh-'Nerd 'Skin-'Nerd,Awesome Playlist
72,20,Boston,spotify:track:1GqlvSEtMx5xbGptxOTTyk,spotify:artist:29kkCKKGXheHuoO829FxWK,Peace of Mind,spotify:album:2QLp07RO6anZHmtcKTEvSC,303586,Boston,Awesome Playlist
73,21,Boston,spotify:track:39C5FuZ8C8M0QI8CrMsPkR,spotify:artist:29kkCKKGXheHuoO829FxWK,Foreplay / Long Time,spotify:album:2QLp07RO6anZHmtcKTEvSC,467640,Boston,Awesome Playlist
74,22,Toto,spotify:track:4aVuWgvD0X63hcOCnZtNFA,spotify:artist:0PFtn5NtBbbUNbU9EAmIWF,Hold the Line,spotify:album:1mnu4hYvdwQgZXcNvtJ3D3,235800,Toto,Awesome Playlist
75,23,Kansas,spotify:track:4DMKwE2E2iYDKY01C335Uw,spotify:artist:2hl0xAkS2AIRAu23TVMBG1,Carry on Wayward Son,spotify:album:7MejfRSNnrpcLZIxkeZDqR,323000,Leftoverture,Awesome Playlist
76,24,Queen,spotify:track:1AhDOtG9vPSOmsWgNW0BEY,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,Bohemian Rhapsody - Remastered 2011,spotify:album:1TSZDcvlPtAnekTaItI3qO,354320,A Night At The Opera,Awesome Playlist
77,25,Lynyrd Skynyrd,spotify:track:4CJVkjo5WpmUAKp3R44LNb,spotify:artist:4MVyzYMgTwdP7Z49wAZHx0,Sweet Home Alabama,spotify:album:5rtOJsiDDjA9V5306cyTRS,281147,Second Helping,Awesome Playlist
78,26,Boston,spotify:track:1QEEqeFIZktqIpPI4jSVSF,spotify:artist:29kkCKKGXheHuoO829FxWK,More Than a Feeling,spotify:album:2QLp07RO6anZHmtcKTEvSC,285133,Boston,Awesome Playlist
79,27,Led Zeppelin,spotify:track:2nVHqZbOGkKWzlcy1aMbE7,spotify:artist:36QJpDe2go2KgaRleHCDTp,Kashmir,spotify:album:1lZahjeu4AhPkg9JARZr5F,508200,Physical Graffiti,Awesome Playlist
80,28,Ben Foster,spotify:track:6MpMuAuLzFFfwB8QzWL1iZ,spotify:artist:6Gp8BbKAqPO3R0UAYkm8J0,The Majestic Tale (Of A Madman In A Box),spotify:album:2t34tkX7TR5rYKMu3WYO0z,241160,Doctor Who: Series 6 (Original Television Soundtrack),Awesome Playlist
81,29,Guns N' Roses,spotify:track:7o2CTH4ctstm8TNelqjb51,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC,Sweet Child O' Mine,spotify:album:3I9Z1nDCL4E0cP62flcbI5,356080,Appetite For Destruction,Awesome Playlist
82,30,Creedence Clearwater Revival,spotify:track:4BP3uh0hFLFRb5cjsgLqDh,spotify:artist:3IYUhFvPQItj6xySrBmZkd,Fortunate Son,spotify:album:31q47gQszFt0CddSyMksgO,140773,Willy And The Poor Boys,Awesome Playlist
83,31,Scorpions,spotify:track:0XIvZ82aDF7JiSi3ZE320u,spotify:artist:27T030eWyCQRmDyuvr1kxY,Rock You Like A Hurricane,spotify:album:6d4dgGamepehj0WwsYXTKi,252493,Love At First Sting,Awesome Playlist
84,32,Rush,spotify:track:3QZ7uX97s82HFYSmQUAN1D,spotify:artist:2Hkut4rAAyrQxRdof7FVJq,Tom Sawyer,spotify:album:2xg7iIKoSqaDNpDbJnyCjY,276880,Moving Pictures,Awesome Playlist
85,33,Rush,spotify:track:6UGHk2cmbDC1oidVjXcCKo,spotify:artist:2Hkut4rAAyrQxRdof7FVJq,Red Barchetta,spotify:album:2xg7iIKoSqaDNpDbJnyCjY,370426,Moving Pictures,Awesome Playlist
86,34,Rush,spotify:track:3lpDrxUkr0tIe1kmJvdK7d,spotify:artist:2Hkut4rAAyrQxRdof7FVJq,YYZ,spotify:album:2xg7iIKoSqaDNpDbJnyCjY,265840,Moving Pictures,Awesome Playlist
87,35,Rush,spotify:track:0K6yUnIKNsFtfIpTgGtcHm,spotify:artist:2Hkut4rAAyrQxRdof7FVJq,Limelight,spotify:album:2xg7iIKoSqaDNpDbJnyCjY,259839,Moving Pictures,Awesome Playlist
88,36,Rush,spotify:track:0hBby0yygBY1u3m6tSpZgC,spotify:artist:2Hkut4rAAyrQxRdof7FVJq,The Camera Eye,spotify:album:2xg7iIKoSqaDNpDbJnyCjY,658986,Moving Pictures,Awesome Playlist
89,37,Rush,spotify:track:6cbBAD1AAYVaQR1cx89AZX,spotify:artist:2Hkut4rAAyrQxRdof7FVJq,Witch Hunt,spotify:album:2xg7iIKoSqaDNpDbJnyCjY,285533,Moving Pictures,Awesome Playlist
90,38,Rush,spotify:track:1k0GxoZYv3Yx5mNeXMOZN2,spotify:artist:2Hkut4rAAyrQxRdof7FVJq,Vital Signs,spotify:album:2xg7iIKoSqaDNpDbJnyCjY,286226,Moving Pictures,Awesome Playlist
91,0,Hoody,spotify:track:74tqql9zP6JjF5hjkHHUXp,spotify:artist:7lXgbtBDcCRbfc5f8FhGUL,Like You,spotify:album:7hq1c0ZrLiSKxzhoRacoG7,212715,On And On,korean 
92,1,Loco,spotify:track:4erhEGuOGQgjv3p1bccnpn,spotify:artist:2e4G04F77jxVuDYo44TCSm,GOOD (feat. ELO),spotify:album:4UlGIso11ixt3WiNUPZ4kT,180006,GOOD (feat. ELO),korean 
93,2,Park Kyung,spotify:track:4hRA2rCPaCOpoEIq5qXaBz,spotify:artist:0hT0UrjmzkLJouAT52ck6j,Inferiority Complex (feat. Eunha),spotify:album:0WkXveHN5p6Md6ouIFJzBS,204376,Inferiority Complex (feat. Eunha),korean 
94,3,Park Kyung,spotify:track:1enx9LPZrXxaVVBxas5rRm,spotify:artist:0hT0UrjmzkLJouAT52ck6j,Ordinary Love,spotify:album:6nI5vvp4jsLHC9M55PTqDE,232866,Ordinary Love (Feat.Park Boram),korean 
95,4,BTS,spotify:track:0WNGsQ1oAuHzNTk8jivBKW,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,Spring Day,spotify:album:7LF4N7lvyDhrPBuCJ1rplJ,274097,You Never Walk Alone,korean 
96,5,Lovelyz,spotify:track:24psBRmEw3kHjBGZfl1dmb,spotify:artist:3g34PW5oNmDBxMVUTzx2XK,Ah-Choo,spotify:album:5ZJuawNI3RvxURIBtsDHs0,218474,Lovelyz8,korean 
97,6,LEE HI,spotify:track:06L1apH8kLF47dbhZ4Zg9A,spotify:artist:7cVZApDoQZpS447nHTsNqu,BREATHE,spotify:album:1xnXVzinhfO4I9CzTocPfh,288992,SEOULITE,korean 
98,7,LEE HI,spotify:track:2qWgqPdW1OiAP8KSBH1b93,spotify:artist:7cVZApDoQZpS447nHTsNqu,FXXK WIT US,spotify:album:1xnXVzinhfO4I9CzTocPfh,217861,SEOULITE,korean 
99,8,Ailee,spotify:track:2PTf3zh9UUsgdxQ5b0eXg8,spotify:artist:3uGFTJ7JMllvhgGpumieHF,I Will Show You,spotify:album:7IyU3Bqm8ERDh7i4wq4OuN,234106,U&I,korean 
100,9,Miso,spotify:track:7tIJDktakabGoHjwTTa35W,spotify:artist:1ukccHTdm6Xjmag0QLNJBx,Take Me,spotify:album:7Cr3sCsROrVfclDb7d9z5z,257647,Take Me,korean 
101,10,Zion.T,spotify:track:6ToAD7ajJidQTDn72OncDG,spotify:artist:5HenzRvMtSrgtvU16XAoby,꺼내 먹어요 (Eat),spotify:album:3JdBY835ai83ZEVwvBsIDN,161624,꺼내 먹어요 (Eat) - Single,korean 
102,11,Zion.T,spotify:track:6yEfq48XkEzCg0TwY6Hhkb,spotify:artist:5HenzRvMtSrgtvU16XAoby,No Make Up,spotify:album:5vudrVEnoTqgAgATgafUL2,189154,No Make Up - Single,korean 
103,12,KARD,spotify:track:1ZgfAxHQCXLt8o1VXEHHAt,spotify:artist:2JhAlkmukNvarUpGhTFXUQ,Oh NaNa (Hidden. HUR YOUNG JI),spotify:album:2HpryOOYLbnST4aCT5v4lF,206772,"K.A.R.D Project Vol.1 ""Oh NaNa""",korean 
104,13,KARD,spotify:track:4b1sQpvL7QVgamRZ74F1oA,spotify:artist:2JhAlkmukNvarUpGhTFXUQ,Don't Recall,spotify:album:4wTkdR3v9qFdRuCf2hpBZn,208666,"K.A.R.D Project Vol.2 ""Don't Recall""",korean 
105,14,Zion.T,spotify:track:0AO2yQNGcH0ASHHU5lS4lT,spotify:artist:5HenzRvMtSrgtvU16XAoby,양화대교 (Yanghwa Brdg),spotify:album:06ngphQtoWwkns4H1tpXnq,229349,양화대교 (Yanghwa Brdg) - Single,korean 
106,15,Soyou & Junggigo,spotify:track:0g1AmSKokPboFrxmG1dxKx,spotify:artist:31oLAWK0QuX1XLh6FmlTye,Some (feat.Geeks Lil Boi),spotify:album:2r1oAmMSnUasXigJ2fTwk6,211374,Some,korean 
107,16,Jay Park,spotify:track:5S5gGOsUarzRXKoaSstwba,spotify:artist:4XDi67ZENZcbfKnvMnTYsI,Me Like Yuh,spotify:album:0pW6Q9brZc5MEmrMx9aAUV,223641,Everything You Wanted,korean 
108,17,Jay Park,spotify:track:4z8xFgX0Xq1T9xXomoDLJ2,spotify:artist:4XDi67ZENZcbfKnvMnTYsI,사실은 The Truth Is,spotify:album:0pW6Q9brZc5MEmrMx9aAUV,236919,Everything You Wanted,korean 
109,18,Jay Park,spotify:track:4Y6Voc2xpc4lPD5iKpN4o2,spotify:artist:4XDi67ZENZcbfKnvMnTYsI,Solo (feat. Hoody),spotify:album:0pW6Q9brZc5MEmrMx9aAUV,219488,Everything You Wanted,korean 
110,19,Zico,spotify:track:2fRojxstKd6Tz9VziOeo9n,spotify:artist:4XpUIb8uuNlIWVKmgKZXC0,Boys and Girls (feat. Babylon),spotify:album:2alo2kIobb6naSuL1ABFOR,200169,Boys And Girls,korean 
